"Year,month",region,Avg_leads
2019-06,Pahang,19378.472425352866
2019-06,Penang,54494.433071901665
2019-06,Perak,29450.671367094663
2019-06,Perlis,2449.2519149474665
2019-06,Putrajaya,3858.4740871013337
2019-06,Sabah,37111.532322236264
2019-06,Sarawak,15628.761384584133
2019-06,Selangor,208174.86769176286
2019-06,Terengganu,20595.1135193166
2019-07,Johor,88685.88565343742
2019-07,Kedah,38448.722565232834
2019-07,Kelantan,43248.2174321449
2019-07,Kuala Lumpur,164129.37994381212
2019-07,Labuan,428.56405224419365
2019-07,Melaka,27541.71731722787
2019-07,N. Sembilan,29134.2498721311
2019-07,Pahang,22622.93588960568
2019-07,Penang,66529.03361642387
2019-07,Perak,35202.2158994069
2019-07,Perlis,3207.714073121871
2019-07,Putrajaya,5186.308541442129
2019-07,Sabah,45614.240158985616
2019-07,Sarawak,17849.8164966331
2019-07,Selangor,280544.1731330853
2019-07,Terengganu,24507.31371411955
2019-08,Johor,83435.26976128672
2019-08,Kedah,36389.01803047419
2019-08,Kelantan,44094.60907938143
2019-08,Kuala Lumpur,164102.86761331602
2019-08,Labuan,427.94644517916123
2019-08,Melaka,27092.05669832671
2019-08,N. Sembilan,28586.163265659423
2019-08,Pahang,22912.586445452
2019-08,Penang,62310.874189434704
2019-08,Perak,34356.65506005381
2019-08,Perlis,3380.0212195943222
2019-08,Putrajaya,4792.8402178
2019-08,Sabah,44816.1400479311
2019-08,Sarawak,17339.935824182903
2019-08,Selangor,261132.83281526808
2019-08,Terengganu,23978.593865818966
2019-09,Johor,83885.96402785582
2019-09,Kedah,36848.9062623918
2019-09,Kelantan,43102.50824725513
2019-09,Kuala Lumpur,154364.2391226176
2019-09,Labuan,459.8805747237333
2019-09,Melaka,27657.13734635493
2019-09,N. Sembilan,28529.7008875548
2019-09,Pahang,22475.976514123737
2019-09,Penang,62431.96139644654
2019-09,Perak,33573.26651311214
2019-09,Perlis,3297.8790325332666
2019-09,Putrajaya,4959.231544015201
2019-09,Sabah,44235.53880321234
2019-09,Sarawak,16969.949013786332
2019-09,Selangor,259967.3263891912
2019-09,Terengganu,23155.301510149133
2019-10,Johor,82002.39120457819
2019-10,Kedah,35598.868189473804
2019-10,Kelantan,41854.55463622814
2019-10,Kuala Lumpur,158838.2658689949
2019-10,Labuan,464.8973077830967
2019-10,Melaka,28482.830347299747
2019-10,N. Sembilan,26475.13271523329
2019-10,Pahang,23283.104864186513
2019-10,Penang,62792.508521537486
2019-10,Perak,33850.55185663632
2019-10,Perlis,3004.4144360629034
2019-10,Putrajaya,4967.667741315936
2019-10,Sabah,43675.5572508511
2019-10,Sarawak,17479.384401174582
2019-10,Selangor,264787.815424118
2019-10,Terengganu,23572.936630779805
2019-11,Johor,84915.64949896747
2019-11,Kedah,34749.59142850494
2019-11,Kelantan,40103.72692700513
2019-11,Kuala Lumpur,166646.8904054213
2019-11,Labuan,387.86406466293334
2019-11,Melaka,27519.937369347732
2019-11,N. Sembilan,27077.148360947333
2019-11,Pahang,22423.300445742138
2019-11,Penang,61552.82879606899
2019-11,Perak,32293.0833553966
