date,channel_grouping,year,month,sumOfLeads,ad_id
2019-02-16,,2019,2,857308.205801872,104220
2019-02-17,,2019,2,853587.401731402,103253
2019-02-18,,2019,2,1045942.103763372,119558
2019-02-19,,2019,2,1001411.065714076,115629
2019-02-20,,2019,2,950763.077073788,112816
2019-02-21,,2019,2,947203.981488572,113037
2019-02-22,,2019,2,884165.718082622,107298
2019-02-23,,2019,2,822581.918458736,101689
2019-02-24,,2019,2,827237.168680148,101662
2019-02-25,,2019,2,1011495.452158068,118244
2019-02-26,,2019,2,977234.901586456,115884
2019-02-27,,2019,2,945073.520423414,112849
2019-02-28,,2019,2,931455.868900756,111578
2019-03-01,,2019,3,897200.430371138,106805
2019-03-02,,2019,3,824773.234770212,102329
2019-03-03,,2019,3,797403.705162576,99518
2019-03-04,,2019,3,956074.904102676,114833
2019-03-05,,2019,3,940155.523524164,112157
2019-03-06,,2019,3,930227.115638046,111660
2019-03-07,,2019,3,937780.450917994,112891
2019-03-08,,2019,3,861047.996849776,106251
2019-03-09,,2019,3,798347.164171264,101458
2019-03-10,,2019,3,797804.95660857,100700
2019-03-11,,2019,3,949739.49569206,114126
2019-03-12,,2019,3,932207.7421843,112112
2019-03-13,,2019,3,902097.250678462,109211
2019-03-14,,2019,3,872389.521471234,106108
2019-03-15,,2019,3,797381.055474364,101249
2019-03-16,,2019,3,743648.480579966,95456
2019-03-17,,2019,3,777013.56692792,98332
2019-03-18,,2019,3,936658.450430812,112380
2019-03-19,,2019,3,932655.946073804,111922
2019-03-20,,2019,3,908413.89508475,109556
2019-03-21,,2019,3,882987.643868982,108792
2019-03-22,,2019,3,796981.455285622,101037
2019-03-23,,2019,3,726844.337926076,93515
2019-03-24,,2019,3,732888.1317335,93499
2019-03-25,,2019,3,896121.711222056,109208
2019-03-26,,2019,3,898714.768691958,109550
2019-03-27,,2019,3,886517.009818572,108754
2019-03-28,,2019,3,881068.85954121,107798
2019-03-29,,2019,3,825942.894546924,102806
2019-03-30,,2019,3,734512.903674058,93368
2019-03-31,,2019,3,762903.190031772,95725
2019-04-01,,2019,4,920884.88620066,110197
2019-04-02,,2019,4,935244.188678694,112988
2019-04-03,,2019,4,905840.642618738,110424
2019-04-04,,2019,4,887382.748999338,108101
2019-04-05,,2019,4,824377.76279617,103985
2019-04-06,,2019,4,758322.15025285,96683
2019-04-07,,2019,4,769172.902075986,97071
2019-04-08,,2019,4,925252.195953506,110676
2019-04-09,,2019,4,912395.775846342,110129
2019-04-10,,2019,4,890456.349835988,109360
2019-04-11,,2019,4,870743.931759564,108107
2019-04-12,,2019,4,822804.370722184,103970
2019-04-13,,2019,4,730986.256491878,94811
2019-04-14,,2019,4,746071.779774756,95276
2019-04-15,,2019,4,902713.89678036,110075
2019-04-16,,2019,4,896796.548366702,109953
2019-04-17,,2019,4,866430.696656362,108307
2019-04-18,,2019,4,850537.310708762,106472
2019-04-19,,2019,4,820166.976217694,104110
2019-04-20,,2019,4,738258.422444212,94841
2019-04-21,,2019,4,729588.165830228,93908
2019-04-22,,2019,4,915502.59478871,111211
2019-04-23,,2019,4,868441.494081808,107588
2019-04-24,,2019,4,863912.21936676,107403
2019-04-25,,2019,4,842190.351584276,105881
2019-04-26,,2019,4,788546.865060546,100311
2019-04-27,,2019,4,698747.83976137,91478
2019-04-28,,2019,4,712760.869995172,91819
2019-04-29,,2019,4,865736.912509048,107382
2019-04-30,,2019,4,820017.715945812,102542
2019-05-01,,2019,5,732306.756472438,92552
2019-05-02,,2019,5,859484.9007023,106374
2019-05-03,,2019,5,802101.02504591,101297
2019-05-04,,2019,5,725485.11755978,94948
2019-05-05,,2019,5,698652.945881468,90298
2019-05-06,,2019,5,805389.105738352,101788
2019-05-07,,2019,5,809301.276852046,100975
2019-05-08,,2019,5,805412.926372274,101031
2019-05-09,,2019,5,813542.62165889,102228
2019-05-10,,2019,5,768062.12300428,97804
2019-05-11,,2019,5,720526.510384144,93110
2019-05-12,,2019,5,698010.500304388,90134
2019-05-13,,2019,5,847198.429487172,106651
2019-05-14,,2019,5,815017.78364729,103389
2019-05-15,,2019,5,809384.500367886,103172
2019-05-16,,2019,5,799101.214679248,101738
2019-05-17,,2019,5,747257.81239427,96759
2019-05-18,,2019,5,625776.978045212,83171
2019-05-19,,2019,5,698944.961412314,90260
2019-05-20,,2019,5,789730.62376598,100806
2019-05-21,,2019,5,867722.150066934,108557
2019-05-22,,2019,5,829438.521587396,104322
2019-05-23,,2019,5,846385.857623426,105974
2019-05-24,,2019,5,793037.955482364,100650
2019-05-25,,2019,5,766373.489106998,97545
2019-05-26,,2019,5,756981.51096402,96159
2019-05-27,,2019,5,838603.308885694,104523
2019-05-28,,2019,5,765821.976800202,98245
2019-05-29,,2019,5,735220.078178274,95223
2019-05-30,,2019,5,701197.22761557,90902
2019-05-31,,2019,5,661509.16551208,85550
2019-06-01,,2019,6,597700.783455738,77358
2019-06-02,,2019,6,575859.930784602,75796
2019-06-03,,2019,6,614385.442533986,81311
2019-06-04,,2019,6,511561.478963154,73345
2019-06-05,,2019,6,337426.912375386,48991
2019-06-06,,2019,6,447705.1330763,60899
2019-06-07,,2019,6,552382.602318948,73823
2019-06-08,,2019,6,576536.21090279,75065
2019-06-09,,2019,6,655523.377089362,81545
2019-06-10,,2019,6,855812.343159044,102090
2019-06-11,,2019,6,902305.753867478,105672
2019-06-12,,2019,6,848561.666350898,102610
2019-06-13,,2019,6,846063.558192922,102175
2019-06-14,,2019,6,769227.013456182,95315
2019-06-15,,2019,6,669168.21384119,85191
2019-06-16,,2019,6,678856.81851146,84921
2019-06-17,,2019,6,852581.286684438,101931
2019-06-18,,2019,6,837291.291377134,102206
2019-06-19,,2019,6,820575.842626874,101583
2019-06-20,,2019,6,799707.786595058,99287
2019-06-21,,2019,6,757117.674862462,95829
2019-06-22,,2019,6,670557.675596054,86474
2019-06-23,,2019,6,688143.494358392,86638
2019-06-24,,2019,6,862639.957067996,103968
2019-06-25,,2019,6,876908.922826568,105320
2019-06-26,,2019,6,819741.706068394,102495
2019-06-27,,2019,6,789314.232670996,99782
2019-06-28,,2019,6,751664.190612616,95598
2019-06-29,,2019,6,660312.802422384,85514
2019-06-30,,2019,6,671412.275316274,84954
2019-07-01,,2019,7,872546.146975644,105985
2019-07-02,,2019,7,849720.879050928,104170
2019-07-03,,2019,7,881868.039229254,107102
2019-07-04,,2019,7,935079.602679232,111781
2019-07-05,,2019,7,891547.277924356,108822
2019-07-06,,2019,7,822452.333122202,102418
2019-07-07,,2019,7,835533.480887742,101320
2019-07-08,,2019,7,991784.578267792,115877
2019-07-09,,2019,7,990674.203125094,116101
2019-07-10,,2019,7,948507.89387072,112907
2019-07-11,,2019,7,930715.712576174,111857
2019-07-12,,2019,7,864849.589736202,105565
2019-07-13,,2019,7,771041.682284534,98509
2019-07-14,,2019,7,806607.547563096,100351
2019-07-15,,2019,7,971802.046797554,117099
2019-07-16,,2019,7,964584.79487903,117165
2019-07-17,,2019,7,966450.737700114,118427
2019-07-18,,2019,7,893209.013930344,109999
2019-07-19,,2019,7,836363.203690376,105702
2019-07-20,,2019,7,818555.19530443,105411
2019-07-21,,2019,7,865504.590913862,118172
2019-07-22,,2019,7,949648.391527292,115253
2019-07-23,,2019,7,938950.095469328,114027
2019-07-24,,2019,7,916184.940110298,112008
2019-07-25,,2019,7,906615.28961315,110836
2019-07-26,,2019,7,878654.015933826,113126
2019-07-27,,2019,7,817587.995296634,106901
2019-07-28,,2019,7,812458.021733384,106815
2019-07-29,,2019,7,950160.122754794,119366
2019-07-30,,2019,7,878598.412895238,109655
2019-07-31,,2019,7,921054.423376204,112056
2019-08-01,,2019,8,899695.40147685,108834
2019-08-02,,2019,8,859451.103365058,105903
2019-08-03,,2019,8,802366.046889182,100325
2019-08-04,,2019,8,813762.518156902,100791
2019-08-05,,2019,8,943469.624337386,113521
2019-08-06,,2019,8,933165.10757238,113584
2019-08-07,,2019,8,858132.363732848,107175
2019-08-08,,2019,8,837370.452004426,104407
2019-08-09,,2019,8,794182.576602186,100814
2019-08-10,,2019,8,682108.650714082,90525
2019-08-11,,2019,8,574242.46527537,77414
2019-08-12,,2019,8,701712.795622836,92012
2019-08-13,,2019,8,879083.630449822,107485
2019-08-14,,2019,8,887934.177320754,107855
2019-08-15,,2019,8,876827.933079202,108263
2019-08-16,,2019,8,836038.124204412,103880
2019-08-17,,2019,8,792373.977263534,99461
2019-08-18,,2019,8,804950.51783743,99567
2019-08-19,,2019,8,966048.382701548,114879
2019-08-20,,2019,8,931183.307577156,111380
2019-08-21,,2019,8,930810.981297414,112061
2019-08-22,,2019,8,869325.636471782,105847
2019-08-23,,2019,8,851864.708098076,105269
2019-08-24,,2019,8,806209.347753052,100689
2019-08-25,,2019,8,883083.268479076,114596
2019-08-26,,2019,8,1000459.316426212,117885
2019-08-27,,2019,8,1031844.958141882,130085
2019-08-28,,2019,8,978842.241879182,119001
2019-08-29,,2019,8,884053.508608532,108389
2019-08-30,,2019,8,902088.435351246,122218
2019-08-31,,2019,8,820922.874631998,109095
2019-09-01,,2019,9,825696.131845214,102403
2019-09-02,,2019,9,915054.965871756,107823
2019-09-03,,2019,9,944159.010069648,112293
2019-09-04,,2019,9,941456.050907872,111398
2019-09-05,,2019,9,934227.462463396,110505
2019-09-06,,2019,9,868083.36608644,105833
2019-09-07,,2019,9,811277.2404923,100775
2019-09-08,,2019,9,781432.001948706,96899
2019-09-09,,2019,9,831252.95688834,102551
2019-09-10,,2019,9,890659.215663012,107236
2019-09-11,,2019,9,864597.927783492,104889
2019-09-12,,2019,9,875623.769484464,106971
2019-09-13,,2019,9,770499.725696564,97212
2019-09-14,,2019,9,726518.18509463,92990
2019-09-15,,2019,9,737582.609490134,92393
2019-09-16,,2019,9,808615.59643621,99967
2019-09-17,,2019,9,904360.048302372,108909
2019-09-18,,2019,9,876934.541118248,107295
2019-09-19,,2019,9,865883.41191842,106597
2019-09-20,,2019,9,821568.579760352,102537
2019-09-21,,2019,9,783093.066297388,98525
2019-09-22,,2019,9,767496.90142674,97085
2019-09-23,,2019,9,913270.796132226,109552
2019-09-24,,2019,9,906867.201920968,109820
2019-09-25,,2019,9,882345.689301732,106627
2019-09-26,,2019,9,860584.918664038,105857
2019-09-27,,2019,9,811233.49066403,101386
2019-09-28,,2019,9,748915.370895422,95325
2019-09-29,,2019,9,790968.228504896,98372
2019-09-30,,2019,9,917214.098036606,108915
2019-10-01,,2019,10,904237.548881742,108749
2019-10-02,,2019,10,901355.776435194,108348
2019-10-03,,2019,10,906679.889637406,109750
2019-10-04,,2019,10,863014.42276461,107187
2019-10-05,,2019,10,785192.872804598,99235
2019-10-06,,2019,10,782957.008335096,97295
2019-10-07,,2019,10,903016.161305524,108963
2019-10-08,,2019,10,931153.021583786,111070
2019-10-09,,2019,10,800072.501006598,100454
2019-10-10,,2019,10,714425.854542596,92165
2019-10-11,,2019,10,797959.276619264,101143
2019-10-12,,2019,10,745762.991348288,94080
2019-10-13,,2019,10,750951.081811816,94609
2019-10-14,,2019,10,885622.043010214,107364
2019-10-15,,2019,10,908678.790263226,109903
2019-10-16,,2019,10,928804.108913954,110600
2019-10-17,,2019,10,899618.354058366,109249
2019-10-18,,2019,10,836724.060836848,103897
2019-10-19,,2019,10,802680.25040213,101137
2019-10-20,,2019,10,813790.237302496,101906
2019-10-21,,2019,10,940812.132157308,113989
2019-10-22,,2019,10,899705.174949736,110455
2019-10-23,,2019,10,870427.110044752,107517
2019-10-24,,2019,10,867542.920964112,107149
2019-10-25,,2019,10,804592.168024572,100718
2019-10-26,,2019,10,740019.97529972,93321
2019-10-27,,2019,10,706099.016763802,88851
2019-10-28,,2019,10,819372.500646222,102193
2019-10-29,,2019,10,941770.354738932,121554
2019-10-30,,2019,10,973541.95949206,123496
2019-10-31,,2019,10,958496.354276252,123904
2019-11-01,,2019,11,926481.037375256,116881
2019-11-02,,2019,11,892594.546676654,118442
2019-11-03,,2019,11,872688.794470388,109865
2019-11-04,,2019,11,1008068.886481006,121148
2019-11-05,,2019,11,1000920.478050724,122611
2019-11-06,,2019,11,1007217.74417765,127770
2019-11-07,,2019,11,913436.28205501,113185
2019-11-08,,2019,11,855235.124338746,104194
2019-11-09,,2019,11,790317.344875158,97319
2019-11-10,,2019,11,813861.727768464,98817
2019-11-11,,2019,11,907010.848908812,108077
2019-11-12,,2019,11,864024.729142382,105378
2019-11-13,,2019,11,828176.29390668,104206
2019-11-14,,2019,11,725328.124725234,94869
2019-11-15,,2019,11,665938.770829862,94217
2019-11-16,,2019,11,593766.466613786,83431
2019-11-17,,2019,11,590267.139004772,80458
2019-11-17,(Other),2019,11,1661.621970102,287
2019-11-17,Direct,2019,11,48494.130860578,7618
2019-11-17,Display,2019,11,58.042184488,10
2019-11-17,Organic Search,2019,11,46605.65018345,8130
2019-11-17,Paid Search,2019,11,22031.969345736,2573
2019-11-17,Referral,2019,11,7342.876397222,1169
2019-11-17,Social,2019,11,1263.606448232,211
2019-11-18,,2019,11,725091.385983702,96040
2019-11-18,(Other),2019,11,2408.743549522,451
2019-11-18,Direct,2019,11,71570.535656636,11824
2019-11-18,Display,2019,11,53.957012022,14
2019-11-18,Organic Search,2019,11,80208.156406076,13924
2019-11-18,Paid Search,2019,11,25216.835891484,3341
2019-11-18,Referral,2019,11,12293.150757564,1883
2019-11-18,Social,2019,11,1988.588593644,354
2019-11-19,,2019,11,680603.567978384,92046
2019-11-19,(Other),2019,11,3338.040718732,675
2019-11-19,Direct,2019,11,99124.726613258,15504
2019-11-19,Display,2019,11,221.430718954,36
2019-11-19,Organic Search,2019,11,114012.770753134,18969
2019-11-19,Paid Search,2019,11,29784.003597026,4295
2019-11-19,Referral,2019,11,14871.320414424,2299
2019-11-19,Social,2019,11,2184.715093874,392
2019-11-20,,2019,11,678821.235593954,90307
2019-11-20,(Other),2019,11,3831.86831817,683
2019-11-20,Direct,2019,11,94128.68116219,15475
2019-11-20,Display,2019,11,157.008331044,36
2019-11-20,Organic Search,2019,11,114687.335207778,19058
2019-11-20,Paid Search,2019,11,31485.22851385,4328
2019-11-20,Referral,2019,11,14477.298575824,2358
2019-11-20,Social,2019,11,2152.47225349,384
2019-11-21,,2019,11,647036.066826968,87123
2019-11-21,(Other),2019,11,2963.803176834,604
2019-11-21,Direct,2019,11,91390.965795852,14975
2019-11-21,Display,2019,11,155.82811142,22
2019-11-21,Organic Search,2019,11,108929.707125158,18550
2019-11-21,Paid Search,2019,11,28099.218250536,4301
2019-11-21,Referral,2019,11,14184.05661347,2293
2019-11-21,Social,2019,11,2557.568025564,448
2019-11-22,,2019,11,624600.796662608,85661
2019-11-22,(Other),2019,11,3839.909857292,670
2019-11-22,Direct,2019,11,83343.93377787,14279
2019-11-22,Display,2019,11,247.85359121,45
2019-11-22,Organic Search,2019,11,110595.240677808,18870
2019-11-22,Paid Search,2019,11,30135.094421362,4369
2019-11-22,Referral,2019,11,12332.122571118,2065
2019-11-22,Social,2019,11,2225.811415842,383
2019-11-23,,2019,11,576932.824962734,79229
2019-11-23,(Other),2019,11,4001.592107574,751
2019-11-23,Direct,2019,11,77425.04694651,13346
2019-11-23,Display,2019,11,186.529662564,43
2019-11-23,Organic Search,2019,11,107801.274666226,18716
2019-11-23,Paid Search,2019,11,33000.606960356,4757
2019-11-23,Referral,2019,11,12054.293764268,2067
2019-11-23,Social,2019,11,1968.43010129,363
2019-11-24,,2019,11,580189.418141756,78379
2019-11-24,(Other),2019,11,4139.982316568,716
2019-11-24,Direct,2019,11,64548.38409654,11035
2019-11-24,Display,2019,11,202.288081192,42
2019-11-24,Organic Search,2019,11,89349.787610542,15598
2019-11-24,Paid Search,2019,11,27343.605675206,4010
2019-11-24,Referral,2019,11,8837.291850218,1573
2019-11-24,Social,2019,11,2020.035052286,364
2019-11-25,,2019,11,698852.574936478,92768
2019-11-25,(Other),2019,11,4089.493159514,783
2019-11-25,Direct,2019,11,64577.392372974,11067
2019-11-25,Display,2019,11,167.762685964,36
2019-11-25,Organic Search,2019,11,95183.752374388,16174
2019-11-25,Paid Search,2019,11,25475.07831613,3739
2019-11-25,Referral,2019,11,10663.915041494,1803
2019-11-25,Social,2019,11,1855.888112542,328
2019-11-26,,2019,11,684538.945267108,91348
2019-11-26,(Other),2019,11,4470.479658834,866
2019-11-26,Direct,2019,11,88038.33536036,14215
2019-11-26,Display,2019,11,171.565043908,38
2019-11-26,Organic Search,2019,11,122277.616219578,20540
2019-11-26,Paid Search,2019,11,33683.811784858,4784
2019-11-26,Referral,2019,11,14537.048094698,2330
2019-11-26,Social,2019,11,2318.025078784,411
2019-11-27,,2019,11,561618.798469116,78111
2019-11-27,(Other),2019,11,4115.519159448,830
2019-11-27,Direct,2019,11,78150.802871658,12885
2019-11-27,Display,2019,11,243.281647932,44
2019-11-27,Organic Search,2019,11,110422.046179428,18683
2019-11-27,Paid Search,2019,11,31829.950670108,4457
2019-11-27,Referral,2019,11,12042.886631234,2022
2019-11-27,Social,2019,11,2028.056032666,374
2019-11-28,,2019,11,653465.736864506,87995
2019-11-28,(Other),2019,11,4656.73747329,890
2019-11-28,Direct,2019,11,88743.663349824,14118
2019-11-28,Display,2019,11,197.216781938,30
2019-11-28,Organic Search,2019,11,123225.922801778,20730
2019-11-28,Paid Search,2019,11,30541.104906526,4504
2019-11-28,Referral,2019,11,13210.055831144,2108
2019-11-28,Social,2019,11,2097.458397536,368
2019-11-29,,2019,11,608179.258119926,83632
2019-11-29,(Other),2019,11,4042.965391542,794
2019-11-29,Direct,2019,11,72873.316628816,12657
2019-11-29,Display,2019,11,151.108253084,31
2019-11-29,Organic Search,2019,11,108540.541995024,18733
2019-11-29,Paid Search,2019,11,32571.391307392,4726
2019-11-29,Referral,2019,11,11983.258750692,2061
2019-11-29,Social,2019,11,2322.470731884,396
2019-11-30,,2019,11,554925.636949194,75645
2019-11-30,(Other),2019,11,4384.784666436,886
2019-11-30,Direct,2019,11,73097.34644831,12717
2019-11-30,Display,2019,11,143.106111064,25
2019-11-30,Organic Search,2019,11,114016.182083472,19503
2019-11-30,Paid Search,2019,11,37940.525655942,5273
2019-11-30,Referral,2019,11,11797.922038814,2021
2019-11-30,Social,2019,11,2032.593428676,366
2019-12-01,,2019,12,556939.56142629,75658
2019-12-01,(Other),2019,12,4384.08112986,839
2019-12-01,Direct,2019,12,77273.635333374,13195
2019-12-01,Display,2019,12,316.107061468,68
2019-12-01,Organic Search,2019,12,116759.898323756,19755
2019-12-01,Paid Search,2019,12,38874.442454138,5453
2019-12-01,Referral,2019,12,13224.307894648,2220
2019-12-01,Social,2019,12,2173.125773134,380
2019-12-02,,2019,12,683583.195407088,89178
2019-12-02,(Other),2019,12,5349.463227306,915
2019-12-02,Direct,2019,12,80364.212527248,13457
2019-12-02,Display,2019,12,236.98823584,43
2019-12-02,Organic Search,2019,12,125029.397348966,20749
2019-12-02,Paid Search,2019,12,36762.4711772,5297
2019-12-02,Referral,2019,12,18219.995559484,2632
2019-12-02,Social,2019,12,2199.541417816,403
2019-12-03,,2019,12,672171.37113422,88951
2019-12-03,(Other),2019,12,4596.873066216,941
2019-12-03,Direct,2019,12,83449.006953058,13638
2019-12-03,Display,2019,12,227.930164962,38
2019-12-03,Organic Search,2019,12,125538.263188478,20969
2019-12-03,Paid Search,2019,12,39264.507710228,5517
2019-12-03,Referral,2019,12,15256.649167514,2398
2019-12-03,Social,2019,12,2142.190008062,375
2019-12-04,,2019,12,683319.23895767,90374
2019-12-04,(Other),2019,12,5338.13141652,1019
2019-12-04,Direct,2019,12,81309.50571731,13348
2019-12-04,Display,2019,12,188.774488124,41
2019-12-04,Organic Search,2019,12,123732.44892153,20428
2019-12-04,Paid Search,2019,12,38844.9581852,5569
2019-12-04,Referral,2019,12,15233.070232702,2492
2019-12-04,Social,2019,12,2177.542118582,350
2019-12-05,,2019,12,656882.301275112,87894
2019-12-05,(Other),2019,12,4683.775833776,892
2019-12-05,Direct,2019,12,83358.80888441,13446
2019-12-05,Display,2019,12,371.891629788,69
2019-12-05,Organic Search,2019,12,117086.696244728,19519
2019-12-05,Paid Search,2019,12,46855.624732426,6373
2019-12-05,Referral,2019,12,12995.91620035,2171
2019-12-05,Social,2019,12,2343.122382876,412
2019-12-06,,2019,12,615722.26920016,83581
2019-12-06,(Other),2019,12,4272.281829902,787
2019-12-06,Direct,2019,12,72912.653854858,12518
2019-12-06,Display,2019,12,384.317327062,65
2019-12-06,Organic Search,2019,12,109908.468675784,18885
2019-12-06,Paid Search,2019,12,42651.380051434,5801
2019-12-06,Referral,2019,12,12396.781731026,2060
2019-12-06,Social,2019,12,2207.101583704,406
2019-12-07,,2019,12,543816.42855087,74954
2019-12-07,(Other),2019,12,5018.430764348,940
2019-12-07,Direct,2019,12,68004.904737114,11859
2019-12-07,Display,2019,12,326.77650192,65
2019-12-07,Organic Search,2019,12,110662.28679145,18887
2019-12-07,Paid Search,2019,12,43865.542216696,6151
2019-12-07,Referral,2019,12,11538.386732748,1976
2019-12-07,Social,2019,12,2139.24255652,392
2019-12-08,,2019,12,546658.026501308,74622
2019-12-08,(Other),2019,12,5048.008604306,968
2019-12-08,Direct,2019,12,70977.98204312,12326
2019-12-08,Display,2019,12,525.331480336,118
2019-12-08,Organic Search,2019,12,115504.039677612,19363
2019-12-08,Paid Search,2019,12,47194.898500734,6502
2019-12-08,Referral,2019,12,11696.79560521,2042
2019-12-08,Social,2019,12,2235.859885134,378
2019-12-09,,2019,12,672134.608246842,89082
2019-12-09,(Other),2019,12,6028.49189361,1043
2019-12-09,Direct,2019,12,78663.102479336,13409
2019-12-09,Display,2019,12,411.283073698,81
2019-12-09,Organic Search,2019,12,124577.4348158,20854
2019-12-09,Paid Search,2019,12,46113.185561418,6583
2019-12-09,Referral,2019,12,15137.11994518,2446
2019-12-09,Social,2019,12,2329.261075718,437
2019-12-10,,2019,12,650903.355054902,87838
2019-12-10,(Other),2019,12,5328.440264656,1080
2019-12-10,Direct,2019,12,82486.156529446,13825
2019-12-10,Display,2019,12,470.586019718,92
2019-12-10,Organic Search,2019,12,125323.892214914,20782
2019-12-10,Paid Search,2019,12,44754.574388424,6527
2019-12-10,Referral,2019,12,14291.66143331,2255
2019-12-10,Social,2019,12,2330.27327951,416
2019-12-11,,2019,12,649664.39127272,87746
2019-12-11,(Other),2019,12,6992.045038472,1160
2019-12-11,Direct,2019,12,78791.922323804,13307
2019-12-11,Display,2019,12,531.699331368,107
2019-12-11,Organic Search,2019,12,121677.62440542,20623
2019-12-11,Paid Search,2019,12,44524.582634244,6506
2019-12-11,Referral,2019,12,13087.10513354,2181
2019-12-11,Social,2019,12,2862.75253469,494
2019-12-12,,2019,12,622153.932423288,84444
2019-12-12,(Other),2019,12,5514.493725808,1040
2019-12-12,Direct,2019,12,71525.864801876,12285
2019-12-12,Display,2019,12,362.423457582,73
2019-12-12,Organic Search,2019,12,115347.558703914,20020
2019-12-12,Paid Search,2019,12,41163.793513666,6116
2019-12-12,Referral,2019,12,13160.236952552,2167
2019-12-12,Social,2019,12,2376.78401986,434
2019-12-13,,2019,12,591905.75539366,81801
2019-12-13,(Other),2019,12,5975.299505762,1117
2019-12-13,Direct,2019,12,71490.535575186,12176
2019-12-13,Display,2019,12,568.107768034,119
2019-12-13,Organic Search,2019,12,114969.120757654,19502
2019-12-13,Paid Search,2019,12,41463.54136627,6119
2019-12-13,Referral,2019,12,12888.928631598,2160
2019-12-13,Social,2019,12,2151.073791176,412
2019-12-14,,2019,12,517836.368778206,72558
2019-12-14,(Other),2019,12,4825.459505938,942
2019-12-14,Direct,2019,12,68110.512844152,11616
2019-12-14,Display,2019,12,653.273173804,145
2019-12-14,Organic Search,2019,12,114623.231520086,19702
2019-12-14,Paid Search,2019,12,42656.479500702,6307
2019-12-14,Referral,2019,12,11438.967837172,1974
2019-12-14,Social,2019,12,2092.74678626,356
2019-12-15,,2019,12,560259.621251694,75594
2019-12-15,(Other),2019,12,6036.655437604,1126
2019-12-15,Direct,2019,12,73793.542024122,12479
2019-12-15,Display,2019,12,993.238008362,212
2019-12-15,Organic Search,2019,12,118737.860479752,20180
2019-12-15,Paid Search,2019,12,49904.267543056,7089
2019-12-15,Referral,2019,12,10787.386396152,1911
2019-12-15,Social,2019,12,2400.470863132,412
2019-12-16,,2019,12,662681.33863736,87955
2019-12-16,(Other),2019,12,6518.824941744,1281
2019-12-16,Direct,2019,12,79569.480496744,13463
2019-12-16,Display,2019,12,792.8379932,157
2019-12-16,Organic Search,2019,12,128880.025158566,21483
2019-12-16,Paid Search,2019,12,45198.123760294,6619
2019-12-16,Referral,2019,12,13909.81020263,2333
2019-12-16,Social,2019,12,2486.455608848,451
2019-12-17,,2019,12,657682.577844416,88506
2019-12-17,(Other),2019,12,5240.966900016,1087
2019-12-17,Direct,2019,12,82840.77809075,13991
2019-12-17,Display,2019,12,536.138005844,110
2019-12-17,Organic Search,2019,12,128337.426596464,21769
2019-12-17,Paid Search,2019,12,45597.3601825,6664
2019-12-17,Referral,2019,12,13847.019129932,2254
2019-12-17,Social,2019,12,2233.439870822,415
2019-12-18,,2019,12,652553.183790278,88448
2019-12-18,(Other),2019,12,5371.122855046,1086
2019-12-18,Direct,2019,12,77357.648263976,13149
2019-12-18,Display,2019,12,410.161980044,84
2019-12-18,Organic Search,2019,12,125292.114963032,21470
2019-12-18,Paid Search,2019,12,46484.592143634,6742
2019-12-18,Referral,2019,12,13676.65086622,2287
2019-12-18,Social,2019,12,2043.749582226,381
2019-12-19,,2019,12,635102.51248395,85355
2019-12-19,(Other),2019,12,5610.53955759,1154
