date,region,year,month,sumOfLeads
2019-01-14,Sarawak,2019,1,20672.669219446
2019-01-14,Selangor,2019,1,339929.094584022
2019-01-14,Terengganu,2019,1,27902.687549812
2019-01-15,Johor,2019,1,95814.357332156
2019-01-15,Kedah,2019,1,42350.27474896
2019-01-15,Kelantan,2019,1,49850.120708576
2019-01-15,Kuala Lumpur,2019,1,187919.107494194
2019-01-15,Labuan,2019,1,377.593312046
2019-01-15,Melaka,2019,1,33508.589817452
2019-01-15,N. Sembilan,2019,1,32943.602903978
2019-01-15,Pahang,2019,1,26465.59904879
2019-01-15,Penang,2019,1,71598.708252014
2019-01-15,Perak,2019,1,39639.434079372
2019-01-15,Perlis,2019,1,3194.904776744
2019-01-15,Putrajaya,2019,1,7002.437502486
2019-01-15,Sabah,2019,1,52989.476108416
2019-01-15,Sarawak,2019,1,22211.644412182
2019-01-15,Selangor,2019,1,316259.20186201
2019-01-15,Terengganu,2019,1,30313.32706094
2019-01-16,Johor,2019,1,93428.329898908
2019-01-16,Kedah,2019,1,42703.476736908
2019-01-16,Kelantan,2019,1,49054.582798256
2019-01-16,Kuala Lumpur,2019,1,180902.795200424
2019-01-16,Labuan,2019,1,361.586470534
2019-01-16,Melaka,2019,1,30939.72896777
2019-01-16,N. Sembilan,2019,1,31894.040631272
2019-01-16,Pahang,2019,1,26776.438230402
2019-01-16,Penang,2019,1,74018.839074322
2019-01-16,Perak,2019,1,38516.656420646
2019-01-16,Perlis,2019,1,3297.88282128
2019-01-16,Putrajaya,2019,1,6060.368958932
2019-01-16,Sabah,2019,1,53677.828290918
2019-01-16,Sarawak,2019,1,21253.68564207
2019-01-16,Selangor,2019,1,309907.917982258
2019-01-16,Terengganu,2019,1,30622.806147698
2019-01-17,,2019,1,8
2019-01-17,Johor,2019,1,91593.410724736
2019-01-17,Kedah,2019,1,41950.274551986
2019-01-17,Kelantan,2019,1,50238.980431508
2019-01-17,Kuala Lumpur,2019,1,182077.486814296
2019-01-17,Labuan,2019,1,382.962790192
2019-01-17,Melaka,2019,1,30387.464330946
2019-01-17,N. Sembilan,2019,1,33230.4125813
2019-01-17,Pahang,2019,1,26293.940393082
2019-01-17,Penang,2019,1,71019.71726781
2019-01-17,Perak,2019,1,39530.993972422
2019-01-17,Perlis,2019,1,3174.56451466
2019-01-17,Putrajaya,2019,1,5809.875962128
2019-01-17,Sabah,2019,1,53537.22030608
2019-01-17,Sarawak,2019,1,19858.474269468
2019-01-17,Selangor,2019,1,309681.73485178
2019-01-17,Terengganu,2019,1,27439.349900704
2019-01-18,,2019,1,2
2019-01-18,Johor,2019,1,86008.401423404
2019-01-18,Kedah,2019,1,39354.758038076
2019-01-18,Kelantan,2019,1,50794.629335808
2019-01-18,Kuala Lumpur,2019,1,162518.108113768
2019-01-18,Labuan,2019,1,496.44666143
2019-01-18,Melaka,2019,1,28452.486288346
2019-01-18,N. Sembilan,2019,1,30430.469591774
2019-01-18,Pahang,2019,1,25340.849763246
2019-01-18,Penang,2019,1,64238.107428594
2019-01-18,Perak,2019,1,37725.91147037
2019-01-18,Perlis,2019,1,2760.488043964
2019-01-18,Putrajaya,2019,1,4801.978192722
2019-01-18,Sabah,2019,1,49551.006623678
2019-01-18,Sarawak,2019,1,19499.989782238
2019-01-18,Selangor,2019,1,270360.404914076
2019-01-18,Terengganu,2019,1,27346.419974262
2019-01-19,Johor,2019,1,82519.71433957
2019-01-19,Kedah,2019,1,38163.17761565
2019-01-19,Kelantan,2019,1,48189.104211148
2019-01-19,Kuala Lumpur,2019,1,144882.924335892
2019-01-19,Labuan,2019,1,407.793800136
2019-01-19,Melaka,2019,1,27968.69182162
2019-01-19,N. Sembilan,2019,1,27262.767214102
2019-01-19,Pahang,2019,1,23199.418550638
2019-01-19,Penang,2019,1,54989.29876117
2019-01-19,Perak,2019,1,35202.877527236
2019-01-19,Perlis,2019,1,3001.226280124
2019-01-19,Putrajaya,2019,1,4953.11980974
2019-01-19,Sabah,2019,1,48003.189273096
2019-01-19,Sarawak,2019,1,17700.34397097
2019-01-19,Selangor,2019,1,239509.783746996
2019-01-19,Terengganu,2019,1,27285.781650736
2019-01-20,Johor,2019,1,82721.72904336
2019-01-20,Kedah,2019,1,34155.20547536
2019-01-20,Kelantan,2019,1,47852.028906648
2019-01-20,Kuala Lumpur,2019,1,136178.840018154
2019-01-20,Labuan,2019,1,373.194044266
2019-01-20,Melaka,2019,1,28336.298100434
2019-01-20,N. Sembilan,2019,1,25959.22200581
2019-01-20,Pahang,2019,1,21940.301737116
2019-01-20,Penang,2019,1,50672.422892546
2019-01-20,Perak,2019,1,33570.682382166
2019-01-20,Perlis,2019,1,3122.601405942
2019-01-20,Putrajaya,2019,1,4691.628919178
2019-01-20,Sabah,2019,1,43859.439498362
2019-01-20,Sarawak,2019,1,16111.916596224
2019-01-20,Selangor,2019,1,237218.860272554
2019-01-20,Terengganu,2019,1,27412.360555978
2019-01-21,Johor,2019,1,89821.822530784
2019-01-21,Kedah,2019,1,38281.383251612
2019-01-21,Kelantan,2019,1,46386.419189264
2019-01-21,Kuala Lumpur,2019,1,156580.369491042
2019-01-21,Labuan,2019,1,535.396880626
2019-01-21,Melaka,2019,1,31535.91283072
2019-01-21,N. Sembilan,2019,1,28979.783873278
2019-01-21,Pahang,2019,1,25720.790843056
2019-01-21,Penang,2019,1,56390.487924852
2019-01-21,Perak,2019,1,37601.14930282
2019-01-21,Perlis,2019,1,3363.786183534
2019-01-21,Putrajaya,2019,1,5106.629006012
2019-01-21,Sabah,2019,1,53395.305676222
2019-01-21,Sarawak,2019,1,18331.921095124
2019-01-21,Selangor,2019,1,266423.777908236
2019-01-21,Terengganu,2019,1,29392.169340048
2019-01-22,Johor,2019,1,93547.319017282
