date,region,seller_type,year,month,sumOfLeads,ad_id
2019-01-08,Sarawak,Pro,2019,1,8538.100413244,1221
2019-01-08,Selangor,Private,2019,1,148685.786304846,15419
2019-01-08,Selangor,Pro,2019,1,188936.372590072,23783
2019-01-08,Terengganu,Private,2019,1,23362.472741968,2575
2019-01-08,Terengganu,Pro,2019,1,7075.281635654,937
2019-01-09,Johor,Private,2019,1,48955.5515235,5205
2019-01-09,Johor,Pro,2019,1,49469.433727098,6604
2019-01-09,Kedah,Private,2019,1,30031.676547534,3155
2019-01-09,Kedah,Pro,2019,1,15335.801638244,1906
2019-01-09,Kelantan,Private,2019,1,37861.368298652,4131
2019-01-09,Kelantan,Pro,2019,1,13133.686495676,1656
2019-01-09,Kuala Lumpur,Private,2019,1,82944.02305648,8407
2019-01-09,Kuala Lumpur,Pro,2019,1,112123.120778348,13815
2019-01-09,Labuan,Private,2019,1,424.734472218,68
2019-01-09,Labuan,Pro,2019,1,86.298269542,14
2019-01-09,Melaka,Private,2019,1,17960.083679784,1919
2019-01-09,Melaka,Pro,2019,1,12950.76514896,1520
2019-01-09,N. Sembilan,Private,2019,1,18711.006188748,2024
2019-01-09,N. Sembilan,Pro,2019,1,15438.022698296,1953
2019-01-09,Pahang,Private,2019,1,19236.704914568,1962
2019-01-09,Pahang,Pro,2019,1,7264.64063493,904
2019-01-09,Penang,Private,2019,1,44583.25959787,4485
2019-01-09,Penang,Pro,2019,1,34411.390694602,4347
2019-01-09,Perak,Private,2019,1,29191.773296402,3015
2019-01-09,Perak,Pro,2019,1,15410.22213099,1831
2019-01-09,Perlis,Private,2019,1,2726.930107584,335
2019-01-09,Perlis,Pro,2019,1,671.612514764,92
2019-01-09,Putrajaya,Private,2019,1,3880.390650124,465
2019-01-09,Putrajaya,Pro,2019,1,2822.82765362,302
2019-01-09,Sabah,Private,2019,1,37158.175167828,3999
2019-01-09,Sabah,Pro,2019,1,19378.371224764,2395
2019-01-09,Sarawak,Private,2019,1,12477.401659808,1580
2019-01-09,Sarawak,Pro,2019,1,7842.252210492,1197
2019-01-09,Selangor,Private,2019,1,145980.670151746,15293
2019-01-09,Selangor,Pro,2019,1,186144.93529587,24210
2019-01-09,Terengganu,Private,2019,1,22558.14752371,2565
2019-01-09,Terengganu,Pro,2019,1,7015.370069806,934
2019-01-10,Johor,Private,2019,1,48468.01975616,5167
2019-01-10,Johor,Pro,2019,1,48763.131550932,6440
2019-01-10,Kedah,Private,2019,1,28902.224114032,3142
2019-01-10,Kedah,Pro,2019,1,15099.978256436,1914
2019-01-10,Kelantan,Private,2019,1,38026.990031672,4124
2019-01-10,Kelantan,Pro,2019,1,13447.604449568,1687
2019-01-10,Kuala Lumpur,Private,2019,1,83520.089370054,8691
2019-01-10,Kuala Lumpur,Pro,2019,1,103694.9751731,13129
2019-01-10,Labuan,Private,2019,1,338.785790564,53
2019-01-10,Labuan,Pro,2019,1,56.111274922,9
2019-01-10,Melaka,Private,2019,1,19104.733443324,2039
2019-01-10,Melaka,Pro,2019,1,12861.655396962,1546
2019-01-10,N. Sembilan,Private,2019,1,18298.081910712,1973
2019-01-10,N. Sembilan,Pro,2019,1,14212.680761032,1781
2019-01-10,Pahang,Private,2019,1,20510.295433188,2136
2019-01-10,Pahang,Pro,2019,1,6742.77955401,948
2019-01-10,Penang,Private,2019,1,42554.422076234,4415
2019-01-10,Penang,Pro,2019,1,32772.349944992,4237
2019-01-10,Perak,Private,2019,1,29036.851246654,3171
2019-01-10,Perak,Pro,2019,1,14685.048602126,1807
2019-01-10,Perlis,Private,2019,1,2718.86380428,343
2019-01-10,Perlis,Pro,2019,1,662.62026652,92
2019-01-10,Putrajaya,Private,2019,1,4031.505063536,465
2019-01-10,Putrajaya,Pro,2019,1,2759.326258288,302
2019-01-10,Sabah,Private,2019,1,35041.852544124,3794
