"Year,month",region,Leads_per_ad
2020-01,Labuan,6.816444563077415
2020-01,Melaka,8.133742717355034
2020-01,N. Sembilan,8.531734371772545
2020-01,Pahang,8.40601937558263
2020-01,Penang,8.208118098867963
2020-01,Perak,8.24034015960491
2020-01,Perlis,7.647021730946855
2020-01,Putrajaya,7.989332937495159
2020-01,Sabah,8.022724705539888
2020-01,Sarawak,7.073377118860001
2020-01,Selangor,8.417433972188457
2020-01,Terengganu,8.488239648015162
2020-02,Johor,8.091581594272464
2020-02,Kedah,8.219501808644818
2020-02,Kelantan,8.272176006587584
2020-02,Kuala Lumpur,8.592439290359401
2020-02,Labuan,7.041145013599732
2020-02,Melaka,8.120484996602757
2020-02,N. Sembilan,8.222492194506758
2020-02,Pahang,8.254003655249146
2020-02,Penang,8.217630724109904
2020-02,Perak,7.92378644220482
2020-02,Perlis,7.8304169316618575
2020-02,Putrajaya,8.153852379418822
2020-02,Sabah,8.06846497664443
2020-02,Sarawak,7.139827705324911
2020-02,Selangor,8.293870613063985
2020-02,Terengganu,8.270673792919881
2020-03,Johor,8.082064286627709
2020-03,Kedah,8.044505753845545
2020-03,Kelantan,8.324334167825382
2020-03,Kuala Lumpur,8.445799187267838
2020-03,Labuan,6.72236095151371
2020-03,Melaka,7.890160827034113
2020-03,N. Sembilan,7.876133276353812
2020-03,Pahang,8.39030204538514
2020-03,Penang,7.9029393185736785
2020-03,Perak,8.000378357924648
2020-03,Perlis,7.543176827668964
2020-03,Putrajaya,7.922362953986139
2020-03,Sabah,7.55858252875863
2020-03,Sarawak,7.07236933495482
2020-03,Selangor,8.03536725069725
2020-03,Terengganu,8.041086864716664
2020-04,Johor,8.673606816566787
2020-04,Kedah,8.847301343072486
2020-04,Kelantan,9.501591206131826
2020-04,Kuala Lumpur,8.656735921301452
2020-04,Labuan,7.961523305980452
2020-04,Melaka,9.017985172184293
2020-04,N. Sembilan,8.431511158980742
2020-04,Pahang,9.030733396319693
2020-04,Penang,8.14445604138403
2020-04,Perak,8.580239988182772
2020-04,Perlis,8.661866903216428
2020-04,Putrajaya,8.871590557143422
2020-04,Sabah,7.937617641166965
2020-04,Sarawak,7.178537002249439
2020-04,Selangor,8.363692500623825
2020-04,Terengganu,9.033115580187307
2020-05,Johor,9.375426330080693
2020-05,Kedah,9.508623720446941
2020-05,Kelantan,10.132758230935986
2020-05,Kuala Lumpur,9.62167895608731
2020-05,Labuan,7.12452119883794
2020-05,Melaka,9.415213801919244
2020-05,N. Sembilan,9.762793781440921
2020-05,Pahang,9.452321078035535
2020-05,Penang,8.87900946555675
2020-05,Perak,9.149531022830326
2020-05,Perlis,8.874841228667815
2020-05,Putrajaya,9.399786305383138
2020-05,Sabah,8.802840257569677
2020-05,Sarawak,7.613021302295674
2020-05,Selangor,9.19445158120568
2020-05,Terengganu,9.572173673251402
2020-06,Johor,9.089602388888048
2020-06,Kedah,9.325558531951787
2020-06,Kelantan,9.641556544915156
2020-06,Kuala Lumpur,9.325861759191797
2020-06,Labuan,7.361135065867834
2020-06,Melaka,9.249901500136454
2020-06,N. Sembilan,9.324282977613061
2020-06,Pahang,9.431616393333085
2020-06,Penang,8.926395513763525
2020-06,Perak,9.18375390488236
2020-06,Perlis,9.324674937281268
2020-06,Putrajaya,9.033704080277708
2020-06,Sabah,8.702578752184724
2020-06,Sarawak,7.517656064124194
2020-06,Selangor,9.21426839436403
2020-06,Terengganu,9.600971957729495
2020-07,Johor,7.542225730375075
2020-07,Kedah,7.708993217860725
2020-07,Kelantan,7.9663546488601344
2020-07,Kuala Lumpur,8.038941792500893
2020-07,Labuan,6.360165534184823
2020-07,Melaka,7.703038999623611
2020-07,N. Sembilan,8.118445412741588
2020-07,Pahang,7.982909034175996
2020-07,Penang,7.723533208186998
2020-07,Perak,7.790198874815589
2020-07,Perlis,7.389285016765191
2020-07,Putrajaya,7.47609749520663
2020-07,Sabah,7.182856219386857
2020-07,Sarawak,6.45182355530391
2020-07,Selangor,7.901027988131675
2020-07,Terengganu,7.866534389307689
2020-08,Johor,7.663560336141716
2020-08,Kedah,7.752120514029429
2020-08,Kelantan,8.088058102123993
2020-08,Kuala Lumpur,7.908171972995378
2020-08,Labuan,6.1630333150783425
2020-08,Melaka,7.849845457549867
2020-08,N. Sembilan,8.023274342768902
2020-08,Pahang,8.11446854964531
2020-08,Penang,7.703460299529235
2020-08,Perak,7.640289230140611
2020-08,Perlis,7.334740467694467
2020-08,Putrajaya,7.636091937639233
2020-08,Sabah,7.207736256866411
2020-08,Sarawak,6.473794148893155
2020-08,Selangor,7.759853485278092
2020-08,Terengganu,8.027854217842531
2020-09,Johor,7.6915609956029805
2020-09,Kedah,7.9131225343519755
2020-09,Kelantan,7.993257156936865
2020-09,Kuala Lumpur,7.943478540242092
2020-09,Labuan,6.94151241769178
2020-09,Melaka,7.755895788070492
2020-09,N. Sembilan,8.093164630124566
2020-09,Pahang,8.275098384675859
2020-09,Penang,7.866214968692572
2020-09,Perak,7.796714234818543
2020-09,Perlis,7.973729492291491
2020-09,Putrajaya,7.565040693065334
2020-09,Sabah,7.101814994680981
2020-09,Sarawak,6.410333701258747
2020-09,Selangor,7.843678140164689
2020-09,Terengganu,7.827981141226707
2020-10,Johor,7.353001614192882
2020-10,Kedah,7.734640826979129
2020-10,Kelantan,7.869287954895147
2020-10,Kuala Lumpur,7.837951296425303
2020-10,Labuan,6.6601101652462615
2020-10,Melaka,7.611640421372118
2020-10,N. Sembilan,7.931620361595651
2020-10,Pahang,8.002940307401145
2020-10,Penang,7.779729481518684
2020-10,Perak,7.70883641244725
2020-10,Perlis,7.433301411953668
2020-10,Putrajaya,7.207907476658075
2020-10,Sabah,6.908362451930802
2020-10,Sarawak,6.3183827667362795
2020-10,Selangor,7.612293797030549
2020-10,Terengganu,7.566522301142767
2020-11,Johor,7.582207840525063
2020-11,Kedah,7.98360924818061
2020-11,Kelantan,8.14542014702789
2020-11,Kuala Lumpur,8.118411145344675
2020-11,Labuan,7.082188983608602
2020-11,Melaka,7.991730395076359
2020-11,N. Sembilan,8.006597889698986
2020-11,Pahang,8.465412969327694
2020-11,Penang,7.874784214089262
2020-11,Perak,7.669349879737481
2020-11,Perlis,7.766530769462736
2020-11,Putrajaya,8.004588392006646
2020-11,Sabah,7.437280013313491
2020-11,Sarawak,6.55035598076743
2020-11,Selangor,7.862169351457216
2020-11,Terengganu,7.934438340382676
2020-12,Johor,7.669645061845845
2020-12,Kedah,8.275824193488354
2020-12,Kelantan,8.183296653569117
2020-12,Kuala Lumpur,8.167476913079188
2020-12,Labuan,6.245229758112144
2020-12,Melaka,8.069227162281631
2020-12,N. Sembilan,8.378262878387844
2020-12,Pahang,8.334659152068102
2020-12,Penang,7.9105073459009
2020-12,Perak,7.9969443078626625
2020-12,Perlis,7.715119363571814
2020-12,Putrajaya,7.984646889805988
2020-12,Sabah,7.519017614676159
2020-12,Sarawak,6.563579095595056
2020-12,Selangor,8.02361801971191
2020-12,Terengganu,8.178504814026642
2021-01,Johor,8.219530712690686
2021-01,Kedah,9.009852506377502
2021-01,Kelantan,8.78779859987126
2021-01,Kuala Lumpur,8.682985189699693
2021-01,Labuan,7.259976425097091
2021-01,Melaka,8.55943999184144
2021-01,N. Sembilan,9.017839162287611
2021-01,Pahang,8.880143636318865
2021-01,Penang,8.335352908123365
2021-01,Perak,8.63018840515775
2021-01,Perlis,8.26977409853728
2021-01,Putrajaya,8.48851337363114
2021-01,Sabah,8.356644672724977
2021-01,Sarawak,6.999918855145138
2021-01,Selangor,8.65567679586344
2021-01,Terengganu,8.681987595465873
2021-02,Johor,8.223336684475493
2021-02,Kedah,8.35251814118133
2021-02,Kelantan,8.650817118630979
2021-02,Kuala Lumpur,8.48366285313413
2021-02,Labuan,7.4879143611171814
2021-02,Melaka,8.388598945696899
